A,B,C,D,E,F,G
20,24,56,66,77,81,59
18,19,24,33,39,49,45
6,25,28,40,42,51,68
18,19,24,34,35,39,25
7,17,19,55,60,63,42
11,32,43,82,86,87,62
11,31,37,41,56,82,79
13,30,35,64,70,82,26
4,13,29,40,74,81,36
6,33,45,69,74,75,7
24,27,28,48,68,79,40
9,18,21,47,64,79,86
29,43,55,61,68,87,25
8,29,42,59,79,89,84
12,13,14,18,75,82,30
3,17,28,51,54,89,55
3,11,15,55,62,87,56
16,18,73,74,78,85,28
2,6,12,20,64,84,79
12,13,27,49,70,86,8
3,8,52,62,74,84,11
18,19,20,26,68,89,72
21,25,58,63,71,84,14
6,10,18,28,43,59,38
16,31,52,53,57,80,79
30,57,61,70,75,82,68
1,13,24,38,49,65,30
1,40,46,58,76,88,21
3,18,20,37,77,82,26
10,24,37,47,55,79,53
7,35,46,77,82,85,20
23,26,44,45,88,90,66
25,46,47,55,80,81,14
10,34,36,61,81,85,62
16,18,49,52,53,78,20
16,55,77,78,81,88,40
20,31,73,74,77,82,51
2,33,42,50,52,60,14
31,48,49,53,82,83,62
16,25,33,58,60,76,19
5,24,33,37,39,62,87
24,44,49,50,73,74,21
19,24,47,49,59,71,26
3,18,49,60,70,90,6
18,31,47,61,71,73,49
50,56,61,73,78,85,89
19,23,29,32,35,80,58
1,13,18,28,33,69,44
2,6,12,79,81,87,5
1,12,23,24,46,64,58
12,24,29,37,73,90,66
39,41,44,54,75,88,12
6,13,57,59,67,72,35
4,22,53,58,67,72,76
6,22,25,31,56,81,43
37,45,57,62,70,80,86
2,9,30,39,45,67,41
23,36,55,60,63,81,10
9,31,32,64,67,87,47
1,26,27,41,46,65,35
3,25,36,69,83,85,76
1,6,7,26,46,89,38
14,32,48,62,69,74,22
9,29,44,48,72,81,34
15,17,28,57,64,89,81
8,12,52,73,75,79,48
7,23,31,36,60,64,3
3,11,26,28,49,79,12
12,20,27,33,70,83,78
3,14,23,31,77,81,20
2,33,35,60,67,72,13
30,38,39,42,50,73,14
1,12,14,16,55,88,76
4,21,45,77,83,90,13
5,33,59,63,66,79,50
3,13,37,46,55,77,63
5,43,47,54,74,90,34
14,34,54,73,85,89,4
7,12,13,22,84,85,53
22,41,64,71,73,79,78
4,15,33,60,70,89,71
16,34,38,42,57,73,69
20,36,39,41,72,76,88
2,4,25,29,30,52,24
1,2,14,23,78,88,40
5,22,34,61,62,77,58
10,65,77,80,81,86,89
3,27,48,58,78,90,45
13,59,63,75,85,87,52
8,26,35,43,55,67,69
34,36,71,76,86,89,82
2,29,36,72,82,90,71
20,23,24,29,66,73,30
24,33,37,40,60,86,32
16,37,49,52,53,82,57
29,37,49,51,55,74,86
22,25,26,49,59,85,62
3,4,39,43,56,81,82
2,3,49,51,63,79,43
6,13,26,33,34,78,65
18,23,24,35,48,82,38
8,9,23,34,64,89,1
2,15,63,65,68,78,71
37,40,46,51,58,66,84
10,12,29,41,45,50,52
4,19,47,60,73,84,58
1,27,40,81,82,85,6
13,68,75,79,87,88,90
28,36,59,79,84,88,7
2,12,57,62,64,71,56
3,23,25,44,74,89,76
16,33,42,86,88,89,43
1,5,17,38,61,71,70
17,30,38,51,77,80,33
5,6,17,55,62,73,38
16,40,50,58,62,63,5
17,31,42,43,55,72,64
1,7,21,49,84,87,77
4,7,22,27,39,88,14
23,58,64,67,79,81,14
4,5,46,47,73,82,62
17,38,47,56,76,85,26
5,22,40,46,86,87,13
18,36,62,63,76,80,64
15,23,27,29,50,69,54
6,12,23,28,77,79,73
5,28,33,64,81,84,67
5,19,43,44,73,77,39
6,15,41,57,81,83,74
7,19,25,68,71,85,46
5,13,22,25,43,50,45
7,12,24,37,58,81,10
36,48,56,65,71,73,38
4,11,29,34,86,88,59
48,50,80,81,84,87,42
13,18,22,56,67,72,65
5,14,17,38,64,68,83
13,26,30,34,83,86,64
10,16,35,39,64,65,70
20,24,39,63,65,70,36
19,43,59,60,67,79,10
2,16,38,40,44,57,28
25,33,37,47,48,79,29
29,42,49,52,53,67,55
5,20,24,48,78,80,6
15,16,17,57,60,63,28
12,32,48,68,70,85,7
1,36,42,71,72,88,90
56,71,75,78,81,85,8
25,37,54,63,70,76,7
25,60,62,68,83,89,88
5,14,37,38,50,72,90
7,24,40,56,79,85,90
12,27,31,32,57,83,42
31,33,61,77,86,88,16
4,47,53,55,71,73,80
6,15,16,50,62,82,4
10,36,48,63,83,90,32
10,40,66,72,76,80,61
12,19,22,53,72,88,34
1,43,45,48,83,90,14
15,16,20,23,24,87,77
10,25,56,68,71,77,3
14,37,48,55,84,87,23
22,26,29,37,75,76,36
3,33,45,57,78,80,65
7,9,31,41,67,68,22
28,31,40,67,74,90,61
20,34,44,61,74,87,25
2,9,13,34,46,63,85
6,13,17,49,51,83,76
42,43,46,49,52,76,48
15,28,42,55,76,88,74
10,13,50,59,64,78,23
14,39,50,56,72,89,29
4,26,27,74,77,84,20
37,60,64,75,80,84,2
1,21,30,61,73,84,74
6,54,72,75,81,87,55
15,19,25,33,40,68,81
19,38,60,80,81,90,10
6,31,69,70,76,85,44
12,18,43,47,50,83,53
32,36,43,56,66,89,8
32,39,52,56,69,85,53
12,15,40,50,66,88,70
9,23,36,66,67,77,87
27,35,47,48,59,79,77
1,11,42,43,61,81,29
9,37,39,40,42,86,2
22,43,56,71,77,83,35
3,6,13,28,49,50,33
3,9,14,26,47,79,81
14,43,46,65,71,82,22
30,36,45,49,63,89,46
10,12,54,58,72,88,23
34,43,44,45,53,58,64
1,6,13,23,53,77,20
18,23,45,51,61,86,29
7,9,12,37,86,90,87
1,43,45,48,51,56,18
36,45,46,47,74,75,69
8,48,65,72,83,88,67
14,20,40,58,68,84,88
45,67,70,80,81,89,3
9,10,26,30,44,54,62
4,8,12,17,19,80,84
12,20,23,34,67,87,44
24,45,49,63,78,83,4
4,26,59,63,69,74,86
17,19,32,41,52,87,23
6,7,42,55,75,88,67
40,41,51,62,66,80,77
27,41,44,50,68,73,21
11,20,56,69,72,76,32
6,18,20,34,72,90,17
3,7,14,45,68,70,39
43,71,80,84,88,89,73
4,26,34,61,76,81,67
7,18,27,80,81,83,87
25,60,64,71,75,85,18
33,41,47,48,60,80,17
13,27,40,46,70,84,28
4,11,14,17,25,32,61
34,63,70,77,83,90,43
4,6,25,32,73,83,64
20,53,55,61,64,74,46
20,22,33,44,50,74,60
1,51,53,55,73,86,41
8,49,50,65,66,69,75
3,10,28,71,81,88,84
11,14,15,30,68,81,82
3,7,10,37,57,86,49
7,33,54,72,73,90,24
10,23,35,64,74,90,52
3,28,38,43,73,75,1
3,4,13,16,59,70,22
10,30,44,49,62,79,47
2,16,17,65,69,72,60
9,36,52,76,77,90,54
16,32,35,45,72,77,6
32,35,57,74,79,84,70
5,20,29,41,56,86,81
13,23,31,58,67,68,22
31,36,37,71,86,90,13
8,19,23,37,65,77,48
13,22,44,74,77,87,76
3,6,7,53,65,90,14
38,46,63,82,83,87,1
1,4,42,67,75,77,31
4,48,60,63,84,88,62
5,22,35,38,74,82,36
11,19,26,58,67,89,1
13,16,23,52,67,78,76
13,64,68,84,89,90,85
5,34,44,73,77,83,65
12,23,46,54,78,90,85
4,16,29,58,69,88,54
10,19,24,29,42,67,39
45,64,73,80,81,85,11
13,16,51,56,65,67,35
1,32,37,63,67,69,90
1,25,28,39,51,89,62
7,12,14,16,24,45,54
5,19,26,32,67,87,65
38,40,41,69,76,81,78
15,38,48,74,75,80,81
25,40,57,59,76,82,55
17,20,27,29,72,73,85
12,15,33,60,79,88,8
1,11,40,50,53,80,68
6,27,37,38,47,79,23
4,16,27,55,67,72,3
6,10,38,48,49,65,61
38,58,61,64,82,87,68
12,35,40,59,78,80,44
6,24,30,34,37,71,82
3,35,45,47,54,70,30
22,26,58,60,67,88,49
24,46,57,73,79,81,77
6,25,34,72,76,82,12
16,21,29,39,70,90,76
19,42,64,68,72,86,45
6,7,37,67,80,87,22
21,45,55,61,73,80,77
3,23,61,82,83,88,64
6,51,73,78,80,81,34
20,31,45,62,76,81,51
12,16,24,48,53,58,85
14,20,57,79,85,88,69
1,13,24,39,44,45,83
13,39,62,63,66,76,11
20,32,37,44,75,88,72
6,27,50,57,77,80,22
18,21,28,35,41,85,66
13,42,57,61,63,82,45
6,9,32,47,59,60,83
20,21,63,71,75,79,15
14,15,20,42,70,88,28
17,38,48,51,55,62,59
2,13,31,37,38,82,39
6,15,47,71,75,86,78
3,15,48,74,76,81,34
11,21,22,50,59,63,42
20,29,39,54,57,71,28
15,21,55,60,70,90,34
2,57,62,63,73,87,55
55,65,68,70,73,80,89
12,13,28,30,47,63,35
17,48,52,64,86,87,60
6,36,49,51,52,76,35
4,33,67,71,81,82,72
8,27,39,51,54,90,71
25,28,37,51,54,81,4
44,53,61,65,86,89,49
4,35,48,57,69,90,34
27,32,37,70,82,88,52
7,19,29,33,40,88,80
4,13,15,20,32,41,28
28,42,46,56,74,87,43
8,17,35,61,78,89,9
8,58,76,81,85,87,65
2,19,22,57,65,89,61
15,27,47,51,62,63,20
1,6,12,26,57,70,28
3,9,30,58,60,88,37
10,17,33,38,67,71,73
3,12,26,47,54,87,90
18,24,45,58,62,80,4
2,27,33,47,53,86,65
5,53,64,74,77,88,78
24,35,39,48,82,85,66
17,51,67,70,82,86,49
8,42,45,59,68,88,9
1,13,37,53,62,71,9
23,26,34,56,66,85,44
9,12,19,39,82,86,69
32,38,40,59,62,79,2
11,14,19,32,78,89,9
19,32,41,42,67,77,79
8,10,22,72,87,90,39
3,25,39,50,53,67,51
4,8,19,39,63,70,66
6,17,31,33,43,66,78
2,4,23,38,53,59,17
3,16,37,56,58,79,18
15,25,50,64,80,89,72
29,32,35,49,69,71,70
12,15,34,43,55,75,70
1,28,52,53,63,77,11
3,17,18,41,63,89,48
19,39,43,48,62,76,5
12,34,35,50,63,88,69
4,6,8,41,76,80,60
11,15,16,43,49,84,48
5,18,24,51,55,74,17
6,37,53,60,66,72,26
10,13,42,54,66,81,1
3,37,40,49,53,83,44
29,31,56,57,76,79,43
4,39,56,59,65,78,61
23,36,56,78,80,83,40
18,36,47,62,75,80,41
9,19,52,68,70,74,88
14,21,27,49,82,83,36
5,30,32,35,55,87,86
11,13,20,41,76,89,29
4,14,15,19,76,85,89
8,16,59,61,78,90,45
28,44,49,57,64,89,87
7,11,48,49,64,72,8
3,6,10,26,43,72,89
1,45,48,69,70,89,26
8,9,17,37,49,86,30
12,14,29,49,62,82,79
12,51,56,73,85,88,25
5,48,71,84,85,87,22
25,35,52,55,60,68,75
2,3,15,16,24,67,7
8,10,16,21,39,65,2
11,54,64,70,73,77,66
24,35,37,63,81,85,25
15,33,41,48,52,56,82
1,10,23,40,68,75,14
2,38,39,41,61,76,21
6,21,29,43,80,89,5
2,55,76,78,81,85,71
19,21,28,50,53,62,64
22,42,50,53,78,83,40
9,27,45,66,68,71,83
1,25,26,28,53,79,73
3,21,42,49,64,85,66
14,25,39,50,72,89,59
3,14,49,52,65,81,42
13,17,29,32,35,49,56
6,11,17,18,20,59,55
9,16,48,70,75,77,64
39,55,62,77,82,88,78
8,54,62,63,66,84,45
23,33,36,55,76,79,44
26,36,43,47,64,90,23
11,33,59,68,84,85,62
1,5,14,20,39,58,76
1,8,26,33,47,70,72
15,25,26,33,41,62,51
16,19,61,69,72,84,59
8,14,30,31,35,76,75
44,50,57,81,83,90,5
16,22,35,41,53,62,71
14,25,28,42,82,90,31
29,42,56,65,80,90,78
2,6,18,20,49,83,15
28,46,65,70,77,86,53
2,8,13,39,47,89,33
4,23,56,63,71,89,84
4,36,41,49,56,82,62
15,22,38,62,83,86,57
9,17,30,37,40,46,74
6,28,46,55,56,62,64
25,26,75,78,79,80,56
33,43,59,77,83,86,12
5,13,18,40,51,56,82
32,34,40,45,65,71,89
18,39,61,68,74,75,22
28,35,36,62,66,70,67
8,19,46,49,73,85,72
39,43,56,61,65,81,28
2,8,24,36,80,84,79
11,39,63,64,74,88,28
12,14,17,32,50,58,13
2,23,48,57,63,89,11
5,12,40,61,63,88,31
11,41,52,71,81,89,38
10,11,64,74,82,88,33
10,26,32,41,42,54,31
2,7,12,31,38,71,63
4,22,27,45,58,86,55
2,14,32,43,44,55,12
2,45,59,70,75,82,26
9,22,26,67,71,89,36
7,30,47,76,83,89,11
3,32,37,42,43,89,57
13,15,18,49,65,73,67
6,36,52,68,80,81,87
8,39,55,56,57,63,45
5,26,37,43,45,64,54
11,18,42,44,45,83,7
36,48,70,77,82,88,37
7,18,44,48,51,63,73
4,18,24,29,41,59,40
58,61,70,78,84,87,83
7,12,19,21,60,81,4
25,32,34,54,64,83,56
4,15,22,34,77,87,81
16,20,27,31,32,77,14
22,31,45,68,84,88,54
13,29,40,61,73,81,4
10,50,53,78,82,86,90
7,10,23,33,68,85,30
1,31,44,59,64,77,53
4,22,37,43,63,80,46
3,9,35,65,80,84,26
39,56,64,75,76,90,53
27,31,34,47,58,75,62
5,39,43,53,63,82,33
5,22,49,63,65,66,76
1,8,14,27,83,87,5
21,25,31,44,49,52,61
7,58,61,62,73,74,79
6,7,14,53,54,85,3
10,12,38,57,72,84,11
1,9,27,36,68,70,85
5,11,44,57,86,90,39
10,11,16,45,46,55,31
8,43,53,69,74,79,75
12,25,49,53,67,73,37
3,5,10,32,44,75,49
2,14,38,53,56,71,48
10,21,30,45,55,57,64
22,26,27,28,72,73,1
14,62,69,70,86,88,9
3,4,7,55,61,77,75
14,42,45,49,71,86,72
3,11,43,50,85,88,45
14,35,37,52,66,72,12
13,28,45,58,70,86,60
18,49,60,64,80,84,79
16,19,20,30,31,47,83
12,23,48,70,85,86,78
25,32,36,46,57,58,73
5,11,17,21,28,63,50
7,24,30,59,66,89,74
8,10,23,35,40,46,9
1,34,42,50,70,72,11
3,4,16,36,74,89,40
1,7,10,23,66,88,18
14,53,55,65,83,87,74
6,7,16,51,62,83,36
21,32,35,40,66,83,50
32,48,50,55,58,86,4
14,32,47,48,63,79,46
5,19,40,51,85,87,88
4,14,20,61,75,78,56
1,14,68,70,75,83,89
19,25,49,53,81,84,64
3,21,32,48,59,68,18
20,21,26,53,80,90,4
24,26,49,53,68,83,29
41,51,54,63,66,69,35
23,31,33,39,74,84,45
50,52,54,76,77,86,64
15,30,37,52,61,87,10
12,26,45,75,82,84,33
3,13,20,35,46,58,71
15,19,30,46,47,71,72
12,41,52,55,84,85,45
25,33,41,51,66,76,28
3,6,34,49,79,83,32
21,28,60,68,71,88,89
29,37,53,62,79,85,51
9,35,45,77,85,87,72
14,39,53,55,73,87,3
6,36,37,59,61,62,38
1,61,66,70,78,81,85
14,17,56,59,69,88,13
29,33,40,47,54,87,27
19,26,28,45,86,88,79
5,6,32,61,67,85,35
44,56,57,76,86,88,19
20,40,64,68,76,90,59
5,30,34,50,82,84,28
15,35,42,45,55,77,43
1,29,35,38,45,51,86
3,11,16,38,69,82,17
30,56,57,73,82,84,41
15,37,40,47,64,81,49
19,23,29,44,69,89,60
2,28,43,57,79,90,15
18,21,76,79,80,84,57
24,27,35,43,64,88,8
19,42,45,51,62,88,18
27,42,45,62,74,87,2
21,37,41,45,60,71,23
7,15,17,26,36,54,10
1,6,60,61,69,86,3
25,55,57,67,69,86,2
10,17,51,54,62,65,81
23,26,34,35,71,84,53
13,28,31,58,59,79,45
12,26,27,42,66,89,41
40,46,49,62,77,88,2
21,36,38,72,79,82,25
38,50,58,80,85,90,84
4,41,43,51,85,89,64
1,38,70,75,83,86,52
37,51,58,62,63,86,78
8,16,33,64,71,86,90
22,24,30,58,60,89,26
16,37,42,46,60,64,11
9,11,17,38,81,88,46
1,4,50,66,69,77,42
14,21,34,37,66,73,74
3,15,28,76,83,86,56
19,37,50,73,75,85,61
21,38,63,70,71,83,7
17,20,44,57,71,76,14
11,19,57,63,84,89,35
5,17,44,62,80,88,69
11,20,24,31,40,49,88
8,12,36,62,68,81,51
23,26,32,52,71,75,35
7,8,53,72,82,84,22
16,29,32,40,48,70,38
5,7,20,25,38,59,63
15,30,33,35,87,88,90
17,23,33,44,46,69,7
8,25,26,38,66,79,49
1,7,42,49,77,88,46
21,28,29,36,45,54,5
10,41,52,53,61,88,89
16,51,57,64,72,90,63
16,23,55,83,86,89,9
20,23,30,44,78,88,56
11,18,55,77,81,85,58
1,10,16,51,76,89,49
23,50,54,56,78,83,65
34,56,61,62,70,77,59
14,18,54,63,70,87,74
9,15,25,40,44,71,84
21,22,52,59,65,76,40
1,2,8,12,48,66,28
10,27,37,57,66,78,9
10,21,23,35,55,89,53
40,43,46,57,77,82,47
27,70,73,84,88,90,4
13,15,36,78,82,86,67
1,15,22,33,42,80,53
11,13,25,59,61,87,77
12,34,39,52,61,83,7
5,44,45,53,73,89,41
5,11,23,47,58,60,8
18,26,44,51,63,90,68
14,42,68,69,80,85,54
10,16,20,26,48,56,63
17,34,35,56,65,85,61
4,5,11,26,34,36,72
14,17,21,31,33,69,78
6,17,23,55,56,68,41
22,31,63,76,78,79,58
3,8,21,33,46,86,37
14,35,36,47,58,69,89
5,27,30,31,34,86,87
18,27,49,59,81,88,17
2,27,52,65,70,82,90
1,3,6,42,81,83,87
33,41,49,50,73,87,27
14,17,62,75,76,85,35
24,31,37,45,71,81,72
6,18,34,43,58,80,8
16,17,26,28,37,85,55
5,26,49,50,73,90,65
11,12,27,39,67,90,34
2,46,49,56,82,84,37
50,62,70,75,82,90,74
51,57,58,69,86,89,7
33,37,41,56,65,82,10
5,11,22,27,36,90,84
14,24,40,56,81,90,20
12,18,54,71,80,85,24
3,14,31,32,64,79,50
14,22,24,34,60,85,61
3,9,12,36,71,85,8
12,19,51,61,62,90,1
17,41,45,81,82,88,39
1,41,48,49,84,87,80
8,12,27,72,80,84,19
29,40,57,67,76,79,87
8,27,34,42,83,88,24
5,27,30,58,78,82,68
23,27,43,56,71,75,58
1,17,46,58,67,75,41
32,34,37,49,52,68,71
15,37,43,51,61,89,79
1,31,54,80,81,85,26
27,28,40,63,67,78,83
12,18,47,63,75,81,60
4,14,16,44,76,77,15
4,61,63,79,84,85,3
15,22,37,64,88,90,26
11,26,45,53,69,75,64
11,21,40,66,68,83,89
10,18,26,39,62,68,86
35,38,60,68,74,86,53
2,6,12,17,19,63,50
1,2,4,19,26,89,6
22,38,46,47,77,86,53
16,21,38,44,67,87,28
5,39,61,75,79,90,38
5,28,48,53,75,88,4
12,35,54,58,61,65,60
40,44,62,76,85,90,10
30,44,47,48,53,56,72
17,29,35,45,76,84,51
15,37,38,57,76,87,30
7,32,40,43,47,87,5
6,25,46,59,71,83,61
2,12,26,30,65,74,39
7,19,39,45,48,86,90
1,9,40,59,73,74,70
14,18,34,48,49,74,4
9,13,16,17,34,57,37
50,62,68,70,74,80,22
36,38,39,66,76,83,3
10,11,46,80,83,88,15
15,18,29,37,47,50,22
7,14,27,47,80,87,33
1,10,35,57,67,78,85
3,4,8,28,77,86,68
7,18,46,74,82,90,60
12,41,45,51,66,77,40
8,21,24,42,72,73,51
37,48,55,76,87,90,71
9,11,39,44,49,86,47
35,52,55,61,80,83,36
8,9,10,18,42,63,49
6,42,68,70,75,87,73
1,8,22,28,64,77,21
2,5,36,61,86,88,44
18,45,47,56,77,78,52
16,17,49,50,74,81,19
39,50,51,64,72,81,18
1,18,34,39,48,64,8
25,33,64,67,68,73,58
42,44,51,64,65,77,35
3,26,39,41,56,61,82
17,52,55,65,82,90,85
17,55,66,81,86,89,19
22,62,68,73,75,87,47
1,8,26,41,70,84,2
13,16,25,45,47,55,22
11,26,30,34,43,73,40
1,4,14,41,44,82,30
14,15,64,76,80,86,81
49,54,55,62,66,88,12
2,12,20,52,54,63,69
9,25,37,73,80,81,13
13,14,24,29,73,79,46
7,30,43,52,57,82,75
18,29,32,55,79,82,52
35,54,78,81,86,88,50
2,11,23,31,40,86,29
3,27,54,65,81,83,58
46,66,68,70,78,79,54
38,50,63,65,84,88,26
7,20,29,55,71,81,59
1,2,18,27,43,47,78
6,37,62,73,79,90,48
20,48,50,58,65,78,62
1,3,42,48,73,83,4
3,36,40,42,54,59,64
3,19,33,36,72,84,54
7,19,37,51,53,74,77
3,15,31,36,43,82,57
29,32,36,72,77,82,20
2,33,41,56,62,74,14
15,25,26,32,51,61,63
5,15,59,65,70,82,14
4,6,19,40,60,79,89
3,36,53,64,80,90,4
22,27,48,52,81,83,43
7,41,48,54,72,88,12
4,11,26,53,63,66,8
11,30,51,54,88,90,2
17,24,34,59,72,82,40
12,19,38,43,52,85,33
17,35,41,81,82,86,13
12,20,55,79,81,82,2
4,13,18,58,71,84,3
66,72,76,77,81,85,82
11,29,60,61,82,84,33
12,23,52,69,75,85,43
8,19,25,49,50,54,40
30,52,55,65,71,80,39
4,8,12,44,77,88,71
5,17,53,56,61,83,86
21,41,60,69,71,83,65
24,50,58,69,87,88,3
4,15,39,41,49,68,34
32,40,45,47,56,71,64
6,7,13,35,56,87,48
4,16,17,52,62,67,49
3,9,41,69,74,79,89
24,51,64,69,71,77,63
3,14,50,59,82,84,2
29,61,62,69,80,85,5
7,19,27,51,63,86,62
35,42,60,88,89,90,86
2,7,24,56,82,85,62
2,22,37,46,57,74,63
3,34,62,63,72,73,15
13,14,40,66,79,85,80
14,46,49,60,77,86,33
9,22,36,47,69,85,78
14,33,35,46,50,66,44
26,65,73,76,81,90,13
1,5,16,60,84,86,57
13,16,42,61,63,81,10
29,34,37,55,62,78,24
1,2,26,31,42,64,11
38,44,46,55,67,85,29
20,55,59,73,87,90,40
4,8,11,36,55,83,49
11,15,58,66,74,79,3
18,37,40,45,54,56,57
10,22,34,43,62,68,40
14,18,22,27,39,58,43
14,23,29,44,48,74,73
13,30,47,66,74,81,70
8,18,26,36,41,52,90
29,53,54,72,76,90,20
8,13,31,42,58,88,46
5,17,18,27,33,47,80
2,13,22,53,60,85,16
17,29,63,66,70,89,82
12,17,27,44,72,90,11
8,29,38,53,77,80,27
6,42,43,46,53,70,35
29,40,52,59,71,84,60
4,19,51,57,66,89,78
32,42,55,74,78,88,71
1,27,37,42,53,61,70
18,35,50,57,67,72,16
5,15,66,67,82,84,64
35,37,41,43,51,88,2
41,43,53,65,67,80,77
16,20,43,77,78,84,42
8,36,49,59,70,87,73
2,21,24,27,42,68,63
11,67,72,74,75,77,44
2,49,56,76,86,89,10
2,11,22,25,60,78,74
9,37,41,46,65,79,83
3,11,19,28,52,87,72
7,32,44,47,65,79,48
19,44,57,69,71,87,65
12,14,27,35,73,88,66
13,33,47,48,70,85,7
12,40,51,68,73,77,69
10,14,17,56,65,84,25
4,13,19,30,53,81,42
24,35,39,60,72,75,20
13,18,21,31,41,56,33
15,51,63,79,83,90,64
2,21,33,38,45,46,54
19,21,27,47,59,88,29
29,30,38,54,66,78,80
43,45,46,47,69,90,21
27,35,54,61,83,89,57
3,41,64,65,74,90,80
20,24,38,42,44,79,50
6,8,15,18,33,75,87
8,41,60,70,73,85,55
3,4,15,21,61,67,55
11,23,47,48,80,87,89
14,15,54,77,80,82,55
41,59,68,72,74,87,12
2,24,49,56,76,78,44
10,21,22,43,61,66,47
51,53,63,75,76,87,46
11,25,63,72,76,87,59
2,12,16,20,24,79,83
14,31,34,78,89,90,55
7,43,46,70,77,89,38
15,45,62,63,80,82,44
1,22,24,44,47,79,43
1,16,18,43,47,78,59
28,32,46,49,85,87,52
45,60,67,69,70,87,34
23,35,36,51,59,80,53
13,18,24,50,58,66,64
6,8,18,51,80,89,47
22,26,32,38,42,86,85
8,17,36,37,60,65,13
4,23,28,60,64,65,35
15,31,62,68,72,73,25
19,21,36,55,77,87,51
26,31,50,71,85,87,18
2,8,30,74,76,88,37
4,10,18,53,75,80,85
12,33,40,52,53,85,22
11,32,36,52,63,66,26
42,55,59,61,70,73,41
6,55,61,65,78,89,13
7,24,42,49,54,65,44
28,41,56,75,83,90,44
29,30,61,65,73,81,58
1,52,70,73,83,89,56
5,13,20,32,38,59,7
19,47,56,57,70,71,11
1,32,37,68,81,88,74
13,15,19,21,82,86,87
16,31,53,63,70,81,7
1,29,49,53,56,74,67
6,11,21,30,58,63,5
5,55,68,69,70,76,14
6,16,44,45,89,90,82
5,9,23,40,57,68,66
4,15,25,39,45,79,50
17,19,35,39,40,51,72
2,3,10,15,31,61,37
3,7,11,35,69,85,19
15,18,35,55,64,88,50
6,8,28,29,32,73,59
22,35,36,44,74,75,58
6,57,58,66,76,80,72
7,19,27,54,64,78,86
10,13,45,51,65,88,43
9,24,56,68,80,86,14
4,8,38,60,82,89,88
6,8,49,60,72,74,89
6,27,42,49,82,86,69
1,19,23,50,74,77,18
33,39,49,57,76,80,53
17,21,40,55,64,79,86
2,13,18,51,52,55,64
5,24,28,41,51,73,29
8,14,41,55,83,85,7
8,22,28,36,74,85,79
2,15,39,57,62,73,75
2,7,16,26,34,80,23
41,48,66,81,86,87,50
3,17,43,54,75,79,76
8,18,25,38,41,43,4
25,28,29,54,74,88,2
24,34,64,66,68,72,65
24,37,64,81,84,90,74
1,4,22,24,38,46,61
3,8,13,28,50,61,38
3,49,68,73,76,80,70
7,8,33,39,48,84,23
18,22,28,33,57,71,64
3,15,49,65,70,72,63
24,34,56,72,79,88,18
7,22,33,48,86,87,39
7,15,33,40,51,64,17
11,14,17,35,43,70,54
10,29,53,73,78,83,16
9,12,20,55,69,81,64
3,11,26,36,45,75,1
13,22,31,54,55,87,29
42,64,79,84,87,89,6
20,48,57,65,71,90,39
18,21,24,28,74,77,13
19,36,44,46,51,89,9
13,14,20,22,44,88,1
37,40,70,71,75,80,15
18,28,34,46,66,82,90
4,18,41,52,79,82,39
12,33,49,58,69,75,55
12,23,29,48,52,78,40
44,56,63,71,79,90,88
5,25,44,54,65,70,43
5,11,13,55,66,71,25
15,25,58,61,83,86,77
10,25,35,83,87,90,5
14,20,35,45,48,66,57
13,27,46,68,79,83,32
3,33,63,71,78,79,74
7,48,53,59,70,76,63
24,35,38,61,70,86,58
17,39,48,55,57,85,15
17,42,62,67,77,79,74
3,6,21,24,37,48,13
5,31,57,66,81,85,50
9,13,17,47,63,81,77
13,30,60,67,84,86,78
1,13,14,25,72,86,4
3,15,23,40,51,60,32
11,16,54,56,57,82,41
48,59,65,69,84,90,46
20,26,30,39,40,55,73
12,14,23,36,72,87,89
4,16,31,54,70,87,27
25,28,34,44,57,80,86
23,30,32,41,48,64,78
1,12,21,36,40,84,48
22,30,43,56,69,78,66
24,40,53,60,63,68,56
18,38,43,57,73,88,67
15,23,35,38,69,89,22
20,27,28,46,64,85,68
52,59,63,72,75,87,89
6,26,42,51,60,79,47
20,23,42,70,80,90,39
1,17,31,39,49,71,7
9,46,54,64,69,72,90
26,47,49,66,86,88,44
3,5,51,55,82,83,76
3,4,17,20,23,54,43
57,66,68,70,74,86,87
13,14,22,24,46,81,70
8,27,29,38,64,82,37
43,45,80,81,83,86,77
54,58,72,73,82,86,38
26,30,38,55,69,75,11
30,31,33,44,77,89,51
26,27,31,69,78,85,67
25,55,60,69,77,81,34
7,37,44,45,53,68,57
11,13,27,47,82,84,28
9,47,59,73,79,88,18
25,39,74,76,85,88,58
34,38,53,60,72,88,18
3,22,29,54,75,84,78
13,22,43,50,70,76,14
11,18,27,37,65,72,43
7,33,38,51,53,67,57
1,2,8,30,42,43,45
8,44,47,60,66,77,83
5,6,18,34,42,72,8
34,40,42,64,77,88,48
20,58,65,70,77,86,87
17,26,70,76,82,90,72
3,6,44,60,84,86,53
3,21,63,81,87,89,4
4,35,41,66,77,89,68
17,27,29,31,44,46,51
1,7,22,72,79,82,75
10,12,15,51,66,68,60
26,28,55,61,62,85,81
15,20,32,43,45,54,81
8,10,15,42,48,51,25
41,43,52,59,73,82,87
7,8,10,29,40,52,14
10,41,53,62,65,76,26
16,20,29,31,38,45,25
24,25,33,42,57,89,20
1,4,14,30,78,82,70
15,30,33,37,62,78,55
